date,weekday,month,is_weekend,is_holiday,is_promo
2024-01-01,0,1,0,1,0
2024-01-02,1,1,0,0,0
2024-01-03,2,1,0,0,0
2024-01-04,3,1,0,0,0
2024-01-05,4,1,0,0,0
2024-01-06,5,1,1,0,0
2024-01-07,6,1,1,0,0
2024-01-08,0,1,0,0,0
2024-01-09,1,1,0,0,0
2024-01-10,2,1,0,0,1
2024-01-11,3,1,0,0,1
2024-01-12,4,1,0,0,1
2024-01-13,5,1,1,0,1
2024-01-14,6,1,1,0,1
2024-01-15,0,1,0,1,1
2024-01-16,1,1,0,0,1
2024-01-17,2,1,0,0,1
2024-01-18,3,1,0,0,1
2024-01-19,4,1,0,0,1
2024-01-20,5,1,1,0,1
2024-01-21,6,1,1,0,0
2024-01-22,0,1,0,0,0
2024-01-23,1,1,0,0,0
2024-01-24,2,1,0,0,0
2024-01-25,3,1,0,0,0
2024-01-26,4,1,0,0,0
2024-01-27,5,1,1,0,0
2024-01-28,6,1,1,0,0
2024-01-29,0,1,0,0,0
2024-01-30,1,1,0,0,0
2024-01-31,2,1,0,0,0
2024-02-01,3,2,0,1,0
2024-02-02,4,2,0,0,0
2024-02-03,5,2,1,0,0
2024-02-04,6,2,1,0,0
2024-02-05,0,2,0,0,0
2024-02-06,1,2,0,0,0
2024-02-07,2,2,0,0,0
2024-02-08,3,2,0,0,0
2024-02-09,4,2,0,0,0
2024-02-10,5,2,1,0,1
2024-02-11,6,2,1,0,1
2024-02-12,0,2,0,0,1
2024-02-13,1,2,0,0,1
2024-02-14,2,2,0,0,1
2024-02-15,3,2,0,1,1
2024-02-16,4,2,0,0,1
2024-02-17,5,2,1,0,1
2024-02-18,6,2,1,0,1
2024-02-19,0,2,0,0,1
2024-02-20,1,2,0,0,1
2024-02-21,2,2,0,0,0
2024-02-22,3,2,0,0,0
2024-02-23,4,2,0,0,0
2024-02-24,5,2,1,0,0
2024-02-25,6,2,1,0,0
2024-02-26,0,2,0,0,0
2024-02-27,1,2,0,0,0
2024-02-28,2,2,0,0,0
2024-02-29,3,2,0,0,0
2024-03-01,4,3,0,1,0
2024-03-02,5,3,1,0,0
2024-03-03,6,3,1,0,0
2024-03-04,0,3,0,0,0
2024-03-05,1,3,0,0,0
2024-03-06,2,3,0,0,0
2024-03-07,3,3,0,0,0
2024-03-08,4,3,0,0,0
2024-03-09,5,3,1,0,0
2024-03-10,6,3,1,0,1
2024-03-11,0,3,0,0,1
2024-03-12,1,3,0,0,1
2024-03-13,2,3,0,0,1
2024-03-14,3,3,0,0,1
2024-03-15,4,3,0,1,1
2024-03-16,5,3,1,0,1
2024-03-17,6,3,1,0,1
2024-03-18,0,3,0,0,1
2024-03-19,1,3,0,0,1
2024-03-20,2,3,0,0,1
2024-03-21,3,3,0,0,0
2024-03-22,4,3,0,0,0
2024-03-23,5,3,1,0,0
2024-03-24,6,3,1,0,0
2024-03-25,0,3,0,0,0
2024-03-26,1,3,0,0,0
2024-03-27,2,3,0,0,0
2024-03-28,3,3,0,0,0
2024-03-29,4,3,0,0,0
2024-03-30,5,3,1,0,0
